	Depth（nm）	Load（mN）			Depth（nm）	Load（mN）			Depth（nm）	Load（mN）				点位	时间	Depth（nm）	Load（mN）			Depth（nm）	Load1（mN）	Load2（mN）	Load3（mN）
2.436881	2020.499807	23.19426		2.993811	1581.667688	29.20143		2.509429	1750.211588	24.19269				1#	3.795027	2689.424835	36.7813		3.795027	2689.424835	36.7813	36.82581	36.82581
2.496855	2053.403828	23.79845		3.052194	1597.348142	29.77647		2.565394	1772.50033	24.72433				1#	3.853106	2716.400806	37.37974		3.853106	2716.400806	37.37974	37.43422	37.43422
2.557083	2086.436347	24.40246		3.111999	1613.338694	30.36232		2.625468	1796.050992	25.31131				1#	3.911528	2742.613866	37.95642		3.911528	2742.613866	37.95642	38.01547	38.01547
2.617778	2119.097861	25.00637		3.17182	1629.486777	30.96745		2.685835	1819.10061	25.9108				1#	3.969655	2768.077447	38.53573		3.969655	2768.077447	38.53573	38.59104	38.59104
2.6779	2150.80023	25.60704		3.232078	1645.475615	31.5675		2.74635	1841.257142	26.51576				1#	4.032029	2795.166841	39.13616		4.032029	2795.166841	39.13616	39.15749	39.15749
2.73795	2182.44844	26.21254		3.292212	1661.34654	32.1731		2.805812	1863.411903	27.11631				1#	4.083716	2818.391104	39.71127		4.083716	2818.391104	39.71127	39.75366	39.75366
2.791364	2209.247305	26.76937		3.351221	1676.750053	32.76987		2.86619	1885.467621	27.71785				1#	4.137021	2841.556427	40.23037		4.137021	2841.556427	40.23037	40.35919	40.35919
2.852009	2240.050188	27.34879		3.410097	1691.282383	33.35432		2.925179	1907.229055	28.31396				1#	4.193353	2865.747656	40.80541		4.193353	2865.747656	40.80541	40.96403	40.96403
2.912338	2269.897594	27.95437		3.469047	1705.478869	33.94523		2.98464	1928.539736	28.90691				1#	4.247654	2888.556068	41.33244		4.247654	2888.556068	41.33244	41.53819	41.53819
2.97237	2299.184354	28.55447		3.528942	1719.792215	34.53852		3.04469	1950.009764	29.50427				1#	4.313527	2915.913677	41.96786		4.313527	2915.913677	41.96786	42.158	42.158
3.033386	2329.205537	29.15803		3.584665	1732.687018	35.13485		3.103448	1970.728134	30.09435				1#	4.369545	2939.554323	42.54449		4.369545	2939.554323	42.54449	42.68915	42.68915
3.094474	2358.579829	29.77432		3.637173	1745.786392	35.65901		3.163585	1992.507695	30.69028				1#	4.430209	2965.001389	43.14213		4.430209	2965.001389	43.14213	43.2645	43.2645
3.153905	2387.219447	30.37388		3.697713	1759.746921	36.22594		3.222158	2013.370341	31.28164				1#	4.480678	2985.553746	43.68317		4.480678	2985.553746	43.68317	43.86446	43.86446
3.213247	2416.069488	30.96839		3.757709	1773.135501	36.82581		3.285944	2036.20395	31.9138				1#	4.532525	3006.69411	44.19364		4.532525	3006.69411	44.19364	44.47708	44.47708
3.264208	2440.6301	31.51216		3.817929	1786.732987	37.43422		3.346759	2057.673679	32.51706				1#	4.589119	3028.600135	44.73167		4.589119	3028.600135	44.73167	45.06329	45.06329
3.321201	2468.601835	32.05488		3.87479	1799.8555	38.01547		3.401626	2077.516827	33.11547				1#	4.650301	3052.230776	45.32174		4.650301	3052.230776	45.32174	45.65593	45.65593
3.379263	2496.502977	32.63522		3.93352	1812.720729	38.59104		3.457093	2097.305799	33.64343				1#	4.710563	3074.818008	45.93311		4.710563	3074.818008	45.93311	46.18388	46.18388
3.436958	2523.865062	33.21248		3.988826	1824.765072	39.15749		3.517812	2118.995816	34.23019				1#	4.772086	3097.638426	46.54328		4.772086	3097.638426	46.54328	46.76367	46.76367
3.494713	2551.320295	33.78711		4.050447	1838.161269	39.75366		3.577929	2140.090024	34.83471				1#	4.826055	3117.662927	47.13264		4.826055	3117.662927	47.13264	47.32734	47.32734
3.554875	2578.416584	34.38088		4.111421	1851.137873	40.35919		3.636608	2161.134203	35.43689				1#	4.880373	3136.961265	47.66024		4.880373	3136.961265	47.66024	47.88027	47.88027
3.616047	2606.557836	34.98622		4.171334	1864.602387	40.96403		3.695183	2181.926109	36.0157				1#	4.940683	3157.925547	48.23797		4.940683	3157.925547	48.23797	48.4439	48.4439
3.677146	2635.622978	35.60674		4.227726	1875.992167	41.53819		3.755348	2203.321945	36.61234				1#	5.001587	3178.91415	48.84612		5.001587	3178.91415	48.84612	49.05134	49.05134
3.733823	2661.77219	36.18377		4.286599	1888.611011	42.158		3.815782	2224.889602	37.21404				1#	5.054593	3197.061316	49.41833		5.054593	3197.061316	49.41833	49.59271	49.59271
3.795027	2689.424835	36.7813		4.341379	1900.531826	42.68915		3.87753	2247.153923	37.83161				1#	5.108684	3213.757205	49.94673		5.108684	3213.757205	49.94673	50.13299	50.13299
3.853106	2716.400806	37.37974		4.401357	1912.740134	43.2645		3.938753	2268.787364	38.43361				1#	5.169496	3232.624743	50.53399		5.169496	3232.624743	50.53399	50.71909	50.71909
3.911528	2742.613866	37.95642		4.46197	1925.413784	43.86446		3.991921	2288.224405	39.01795				1#	5.226652	3250.759955	51.11571		5.226652	3250.759955	51.11571	51.32326	51.32326
3.969655	2768.077447	38.53573		4.523506	1938.374166	44.47708		4.046514	2307.773992	39.54583				1#	5.288033	3269.487998	51.70902		5.288033	3269.487998	51.70902	51.97386	51.97386
4.032029	2795.166841	39.13616		4.579358	1948.958678	45.06329		4.106395	2328.90081	40.12795				1#	5.35229	3288.487977	52.38448		5.35229	3288.487977	52.38448	52.51448	52.51448
4.083716	2818.391104	39.71127		4.636469	1960.254114	45.65593		4.158256	2347.099817	40.6766				1#	5.406769	3304.32236	52.92632		5.406769	3304.32236	52.92632	53.09912	53.09912
4.137021	2841.556427	40.23037		4.690962	1971.733945	46.18388		4.218324	2367.545107	41.24043				1#	5.466656	3322.324494	53.49659		5.466656	3322.324494	53.49659	53.68534	53.68534
4.193353	2865.747656	40.80541		4.75077	1984.126537	46.76367		4.288359	2391.305353	41.94462				1#	5.522017	3338.913477	54.09267		5.522017	3338.913477	54.09267	54.26986	54.26986
4.247654	2888.556068	41.33244		4.80486	1994.542239	47.32734		4.34956	2411.896018	42.54759				1#	5.574345	3354.097587	54.6079		5.574345	3354.097587	54.6079	54.86633	54.86633
4.313527	2915.913677	41.96786		4.861145	2005.532283	47.88027		4.410896	2433.188261	43.16708				1#	5.634545	3370.160433	55.1747		5.634545	3370.160433	55.1747	55.43715	55.43715
4.369545	2939.554323	42.54449		4.918324	2017.462484	48.4439		4.470255	2454.087852	43.76411				1#	5.694986	3387.153453	55.7804		5.694986	3387.153453	55.7804	55.96543	55.96543
4.430209	2965.001389	43.14213		4.979642	2031.346464	49.05134		4.52767	2474.173743	44.34811				1#	5.756207	3404.857299	56.38283		5.756207	3404.857299	56.38283	56.5427	56.5427
4.480678	2985.553746	43.68317		5.029958	2047.252817	49.59271		4.589314	2494.698759	44.94238				1#	5.810403	3420.439631	56.97557		5.810403	3420.439631	56.97557	57.0751	57.0751
4.532525	3006.69411	44.19364		5.087257	2065.021833	50.13299		4.65026	2514.723037	45.55722				1#	5.868469	3436.41447	57.5223		5.868469	3436.41447	57.5223	57.65489	57.65489
4.589119	3028.600135	44.73167		5.146174	2082.827102	50.71909		4.710851	2535.181365	46.17102				1#	5.928972	3453.577434	58.12064		5.928972	3453.577434	58.12064	58.25882	58.25882
